backend,circuit,circuit_name,column_end,column_start,error,explanation,lenght_op,likelihood,operations,parallel_op,repetitions,row,rows,suggestion,type
,,circuit,,,,,,,"[{'operation_name': 'if_test', 'qubits_affected': [1], 'clbits_affected': [], 'row': 374, 'column_start': 16, 'column_end': 59, 'source_line': 'with self.circuit.if_test((measure_bit1, 1)):', 'params': ['(measure_bit1']}]",,1,,[374],,ROC
Custom Backend,circuit,circuit,,,{'CustomGate': 0.03512},,3,0.2760825517460722,,12,,,,,LC
