circuit,circuit_name,column_end,column_start,explanation,matrix,qubits,row,suggestion,type
,,39,26,,,,100,,CG
,cirq,18,17,,,,292,,LPQ
,cirq,18,17,,,,301,,LPQ
,cirq,73,10,,,,317,,LPQ
,cirq,59,12,,,,323,,LPQ
,cirq,68,16,,,,351,,LPQ
