circuit,circuit_name,column_end,column_start,explanation,matrix,qubits,row,suggestion,type
,new_circ,22,21,,<Call to to_other_language>,,1252,,CG
,qiskit_circuit,80,42,,,,1593,,LPQ
,qiskit_circuit,72,34,,,,1628,,LPQ
